               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.026604,            0.036504,                   0,             0.97416,             0.95865,             0.98768,             0.69294,            0.023747,            0.037173,                   0,           0.0002674,           0.0002674,           0.0002674
                  76,            0.026582,            0.037441,                   0,              0.9711,             0.95998,             0.98769,             0.69176,            0.023889,            0.037061,                   0,           0.0002575,           0.0002575,           0.0002575
                  77,            0.026393,            0.037121,                   0,             0.97053,             0.95979,              0.9867,             0.69239,            0.023871,            0.037038,                   0,           0.0002476,           0.0002476,           0.0002476
                  78,            0.026387,             0.03599,                   0,             0.97616,             0.95579,             0.98805,              0.6936,            0.023854,             0.03712,                   0,           0.0002377,           0.0002377,           0.0002377
                  79,            0.026397,            0.036485,                   0,             0.97128,             0.95979,             0.98744,              0.6991,            0.023552,            0.037169,                   0,           0.0002278,           0.0002278,           0.0002278
                  80,              0.0266,            0.037682,                   0,             0.97491,             0.95808,             0.98771,              0.6969,            0.023591,             0.03696,                   0,           0.0002179,           0.0002179,           0.0002179
                  81,            0.026315,            0.036512,                   0,             0.97379,             0.96132,             0.98793,             0.69527,            0.023786,            0.036934,                   0,            0.000208,            0.000208,            0.000208
                  82,            0.026194,            0.036705,                   0,             0.97396,             0.95579,             0.98692,             0.69642,            0.023662,            0.037018,                   0,           0.0001981,           0.0001981,           0.0001981
                  83,            0.026307,            0.037058,                   0,             0.96903,             0.96456,             0.98785,              0.6976,            0.023592,             0.03701,                   0,           0.0001882,           0.0001882,           0.0001882
                  84,            0.025939,            0.036487,                   0,             0.97245,             0.96172,             0.98788,             0.68973,            0.023965,            0.037062,                   0,           0.0001783,           0.0001783,           0.0001783
                  85,            0.026209,             0.03724,                   0,              0.9729,             0.96094,             0.98802,             0.70044,            0.023332,            0.036649,                   0,           0.0001684,           0.0001684,           0.0001684
                  86,            0.026097,            0.037129,                   0,             0.97087,             0.95903,             0.98791,             0.69654,             0.02366,            0.036838,                   0,           0.0001585,           0.0001585,           0.0001585
                  87,            0.025866,            0.036197,                   0,             0.97351,              0.9592,             0.98771,             0.69982,            0.023386,            0.036795,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,            0.025846,            0.036215,                   0,             0.97419,             0.95675,             0.98746,             0.69864,            0.023568,            0.036913,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,            0.026071,            0.037209,                   0,             0.97484,             0.95846,              0.9881,             0.70142,            0.023334,            0.036772,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,            0.025717,            0.036338,                   0,              0.9684,             0.96341,              0.9879,             0.69842,            0.023532,            0.036865,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,            0.025928,            0.037057,                   0,             0.97726,             0.95818,             0.98806,             0.70116,            0.023458,            0.036656,                   0,            0.000109,            0.000109,            0.000109
                  92,            0.025518,            0.036782,                   0,             0.97452,              0.9618,             0.98795,             0.70055,            0.023385,             0.03668,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,             0.02606,            0.036207,                   0,             0.97246,             0.96151,             0.98831,             0.70045,            0.023324,            0.036679,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.025856,            0.037574,                   0,             0.97349,             0.95869,             0.98795,             0.70172,            0.023365,            0.036659,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.025821,             0.03646,                   0,             0.97187,             0.96109,             0.98785,             0.70054,            0.023415,            0.036735,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,            0.025568,            0.036266,                   0,              0.9721,             0.96284,             0.98834,             0.70239,            0.023331,             0.03661,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  97,            0.025573,             0.03559,                   0,             0.97206,             0.96141,             0.98807,             0.70096,            0.023374,            0.036684,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.025432,            0.036001,                   0,             0.97538,             0.95879,             0.98836,              0.7018,             0.02329,            0.036687,                   0,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.025719,            0.036217,                   0,             0.97366,             0.96056,             0.98806,             0.70068,            0.023396,            0.036744,                   0,            2.98e-05,            2.98e-05,            2.98e-05
