               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.021294,            0.031707,                   0,              0.9828,              0.9801,             0.99305,             0.76485,            0.019089,            0.032748,                   0,           0.0005941,           0.0005941,           0.0005941
                  84,            0.021391,            0.032059,                   0,              0.9837,              0.9798,             0.99309,             0.76582,            0.019071,            0.032727,                   0,          0.00058915,          0.00058915,          0.00058915
                  85,            0.021154,            0.031625,                   0,             0.98409,             0.97942,             0.99312,             0.76589,            0.019058,            0.032701,                   0,           0.0005842,           0.0005842,           0.0005842
                  86,            0.021162,            0.031491,                   0,             0.98559,             0.97763,             0.99311,             0.76627,            0.019047,            0.032682,                   0,          0.00057925,          0.00057925,          0.00057925
                  87,            0.021217,            0.031638,                   0,             0.98583,             0.97752,              0.9931,              0.7661,            0.019042,            0.032676,                   0,           0.0005743,           0.0005743,           0.0005743
                  88,            0.021094,            0.031772,                   0,              0.9856,             0.97821,             0.99311,             0.76639,            0.019032,            0.032651,                   0,          0.00056935,          0.00056935,          0.00056935
                  89,            0.021131,            0.031432,                   0,             0.98412,              0.9801,             0.99312,             0.76739,            0.019016,            0.032625,                   0,           0.0005644,           0.0005644,           0.0005644
                  90,            0.021002,            0.031359,                   0,             0.98364,             0.98018,             0.99314,             0.76755,               0.019,            0.032601,                   0,          0.00055945,          0.00055945,          0.00055945
                  91,            0.021035,             0.03111,                   0,              0.9839,             0.98056,             0.99315,             0.76755,            0.018992,            0.032607,                   0,           0.0005545,           0.0005545,           0.0005545
                  92,            0.021024,            0.031506,                   0,             0.98383,             0.98056,             0.99314,             0.76756,            0.018983,            0.032595,                   0,          0.00054955,          0.00054955,          0.00054955
                  93,            0.020918,             0.03142,                   0,             0.98389,             0.98056,             0.99315,             0.76811,            0.018975,             0.03258,                   0,           0.0005446,           0.0005446,           0.0005446
